country_code,country,year,value,indicator
IND,India,2024,2696.66389984463,NY.GDP.PCAP.CD
IND,India,2023,2530.12031278204,NY.GDP.PCAP.CD
IND,India,2022,2347.44829434623,NY.GDP.PCAP.CD
IND,India,2021,2239.61384367482,NY.GDP.PCAP.CD
IND,India,2020,1907.04251637669,NY.GDP.PCAP.CD
IND,India,2019,2041.42863698585,NY.GDP.PCAP.CD
IND,India,2018,1966.25455171679,NY.GDP.PCAP.CD
IND,India,2017,1950.10468280866,NY.GDP.PCAP.CD
IND,India,2016,1707.50892912243,NY.GDP.PCAP.CD
IND,India,2015,1583.99815907985,NY.GDP.PCAP.CD
IND,India,2014,1553.88396075118,NY.GDP.PCAP.CD
IND,India,2013,1432.84397512195,NY.GDP.PCAP.CD
IND,India,2012,1429.32199520032,NY.GDP.PCAP.CD
IND,India,2011,1445.46127486037,NY.GDP.PCAP.CD
IND,India,2010,1347.51939071367,NY.GDP.PCAP.CD
CHN,China,2024,13303.1481543868,NY.GDP.PCAP.CD
CHN,China,2023,12951.1782397043,NY.GDP.PCAP.CD
CHN,China,2022,12970.6056414327,NY.GDP.PCAP.CD
CHN,China,2021,12887.4357242941,NY.GDP.PCAP.CD
CHN,China,2020,10627.4637989619,NY.GDP.PCAP.CD
CHN,China,2019,10342.9009524335,NY.GDP.PCAP.CD
CHN,China,2018,10085.6638148819,NY.GDP.PCAP.CD
CHN,China,2017,8979.67652709856,NY.GDP.PCAP.CD
CHN,China,2016,8254.86859320357,NY.GDP.PCAP.CD
CHN,China,2015,8175.33285077393,NY.GDP.PCAP.CD
CHN,China,2014,7781.06597484974,NY.GDP.PCAP.CD
CHN,China,2013,7147.03518622344,NY.GDP.PCAP.CD
CHN,China,2012,6405.0574241349,NY.GDP.PCAP.CD
CHN,China,2011,5703.76027973346,NY.GDP.PCAP.CD
CHN,China,2010,4629.24551710077,NY.GDP.PCAP.CD
USA,United States,2024,85809.9003846356,NY.GDP.PCAP.CD
USA,United States,2023,82304.6204272866,NY.GDP.PCAP.CD
USA,United States,2022,77860.9112908848,NY.GDP.PCAP.CD
USA,United States,2021,71307.4017277218,NY.GDP.PCAP.CD
USA,United States,2020,64401.5074354212,NY.GDP.PCAP.CD
USA,United States,2019,65227.9565911038,NY.GDP.PCAP.CD
USA,United States,2018,62875.6661382728,NY.GDP.PCAP.CD
USA,United States,2017,60047.7190728307,NY.GDP.PCAP.CD
USA,United States,2016,57976.628204291,NY.GDP.PCAP.CD
USA,United States,2015,56849.4697923159,NY.GDP.PCAP.CD
USA,United States,2014,55153.3940182967,NY.GDP.PCAP.CD
USA,United States,2013,53297.3862901595,NY.GDP.PCAP.CD
USA,United States,2012,51708.3940614082,NY.GDP.PCAP.CD
USA,United States,2011,50024.8812320773,NY.GDP.PCAP.CD
USA,United States,2010,48642.6312088213,NY.GDP.PCAP.CD
GBR,United Kingdom,2024,52636.7865943853,NY.GDP.PCAP.CD
GBR,United Kingdom,2023,49200.8101526146,NY.GDP.PCAP.CD
GBR,United Kingdom,2022,46062.9914079698,NY.GDP.PCAP.CD
GBR,United Kingdom,2021,46926.475736105,NY.GDP.PCAP.CD
GBR,United Kingdom,2020,40404.8062238951,NY.GDP.PCAP.CD
GBR,United Kingdom,2019,42794.0022648288,NY.GDP.PCAP.CD
GBR,United Kingdom,2018,43315.4874501318,NY.GDP.PCAP.CD
GBR,United Kingdom,2017,40629.2340347345,NY.GDP.PCAP.CD
GBR,United Kingdom,2016,40988.1044233026,NY.GDP.PCAP.CD
GBR,United Kingdom,2015,44983.885522934,NY.GDP.PCAP.CD
GBR,United Kingdom,2014,47426.6209829995,NY.GDP.PCAP.CD
GBR,United Kingdom,2013,43419.0352598932,NY.GDP.PCAP.CD
GBR,United Kingdom,2012,42490.1465463521,NY.GDP.PCAP.CD
GBR,United Kingdom,2011,42109.6418795749,NY.GDP.PCAP.CD
GBR,United Kingdom,2010,39598.957119545,NY.GDP.PCAP.CD
JPN,Japan,2024,32475.8924992191,NY.GDP.PCAP.CD
JPN,Japan,2023,33836.1756271617,NY.GDP.PCAP.CD
JPN,Japan,2022,34065.6438962526,NY.GDP.PCAP.CD
JPN,Japan,2021,40094.5599795288,NY.GDP.PCAP.CD
JPN,Japan,2020,40028.7341726762,NY.GDP.PCAP.CD
JPN,Japan,2019,40415.9567649547,NY.GDP.PCAP.CD
JPN,Japan,2018,39751.1330982711,NY.GDP.PCAP.CD
