country_code,country,year,value,indicator
IND,India,2024,4.202,SL.UEM.TOTL.ZS
IND,India,2023,4.172,SL.UEM.TOTL.ZS
IND,India,2022,4.822,SL.UEM.TOTL.ZS
IND,India,2021,6.38,SL.UEM.TOTL.ZS
IND,India,2020,7.859,SL.UEM.TOTL.ZS
IND,India,2019,6.51,SL.UEM.TOTL.ZS
IND,India,2018,7.652,SL.UEM.TOTL.ZS
IND,India,2017,7.618,SL.UEM.TOTL.ZS
IND,India,2016,7.601,SL.UEM.TOTL.ZS
IND,India,2015,7.631,SL.UEM.TOTL.ZS
IND,India,2014,7.674,SL.UEM.TOTL.ZS
IND,India,2013,7.711,SL.UEM.TOTL.ZS
IND,India,2012,7.666,SL.UEM.TOTL.ZS
IND,India,2011,7.616,SL.UEM.TOTL.ZS
IND,India,2010,7.652,SL.UEM.TOTL.ZS
CHN,China,2024,4.571,SL.UEM.TOTL.ZS
CHN,China,2023,4.67,SL.UEM.TOTL.ZS
CHN,China,2022,4.98,SL.UEM.TOTL.ZS
CHN,China,2021,4.55,SL.UEM.TOTL.ZS
CHN,China,2020,5.0,SL.UEM.TOTL.ZS
CHN,China,2019,4.56,SL.UEM.TOTL.ZS
CHN,China,2018,4.31,SL.UEM.TOTL.ZS
CHN,China,2017,4.47,SL.UEM.TOTL.ZS
CHN,China,2016,4.56,SL.UEM.TOTL.ZS
CHN,China,2015,4.65,SL.UEM.TOTL.ZS
CHN,China,2014,4.63,SL.UEM.TOTL.ZS
CHN,China,2013,4.6,SL.UEM.TOTL.ZS
CHN,China,2012,4.58,SL.UEM.TOTL.ZS
CHN,China,2011,4.55,SL.UEM.TOTL.ZS
CHN,China,2010,4.53,SL.UEM.TOTL.ZS
USA,United States,2024,4.106,SL.UEM.TOTL.ZS
USA,United States,2023,3.638,SL.UEM.TOTL.ZS
USA,United States,2022,3.65,SL.UEM.TOTL.ZS
USA,United States,2021,5.349,SL.UEM.TOTL.ZS
USA,United States,2020,8.055,SL.UEM.TOTL.ZS
USA,United States,2019,3.669,SL.UEM.TOTL.ZS
USA,United States,2018,3.896,SL.UEM.TOTL.ZS
USA,United States,2017,4.355,SL.UEM.TOTL.ZS
USA,United States,2016,4.869,SL.UEM.TOTL.ZS
USA,United States,2015,5.28,SL.UEM.TOTL.ZS
USA,United States,2014,6.168,SL.UEM.TOTL.ZS
USA,United States,2013,7.375,SL.UEM.TOTL.ZS
USA,United States,2012,8.069,SL.UEM.TOTL.ZS
USA,United States,2011,8.949,SL.UEM.TOTL.ZS
USA,United States,2010,9.633,SL.UEM.TOTL.ZS
GBR,United Kingdom,2024,4.111,SL.UEM.TOTL.ZS
GBR,United Kingdom,2023,3.984,SL.UEM.TOTL.ZS
GBR,United Kingdom,2022,3.73,SL.UEM.TOTL.ZS
GBR,United Kingdom,2021,4.826,SL.UEM.TOTL.ZS
GBR,United Kingdom,2020,4.472,SL.UEM.TOTL.ZS
GBR,United Kingdom,2019,3.613,SL.UEM.TOTL.ZS
GBR,United Kingdom,2018,4.12,SL.UEM.TOTL.ZS
GBR,United Kingdom,2017,4.452,SL.UEM.TOTL.ZS
GBR,United Kingdom,2016,4.867,SL.UEM.TOTL.ZS
GBR,United Kingdom,2015,5.517,SL.UEM.TOTL.ZS
GBR,United Kingdom,2014,6.363,SL.UEM.TOTL.ZS
GBR,United Kingdom,2013,7.704,SL.UEM.TOTL.ZS
GBR,United Kingdom,2012,8.25,SL.UEM.TOTL.ZS
GBR,United Kingdom,2011,8.169,SL.UEM.TOTL.ZS
GBR,United Kingdom,2010,7.924,SL.UEM.TOTL.ZS
JPN,Japan,2024,2.563,SL.UEM.TOTL.ZS
JPN,Japan,2023,2.6,SL.UEM.TOTL.ZS
JPN,Japan,2022,2.6,SL.UEM.TOTL.ZS
JPN,Japan,2021,2.828,SL.UEM.TOTL.ZS
JPN,Japan,2020,2.809,SL.UEM.TOTL.ZS
JPN,Japan,2019,2.351,SL.UEM.TOTL.ZS
JPN,Japan,2018,2.467,SL.UEM.TOTL.ZS
JPN,Japan,2017,2.822,SL.UEM.TOTL.ZS
JPN,Japan,2016,3.132,SL.UEM.TOTL.ZS
JPN,Japan,2015,3.385,SL.UEM.TOTL.ZS
JPN,Japan,2014,3.589,SL.UEM.TOTL.ZS
JPN,Japan,2013,4.038,SL.UEM.TOTL.ZS
JPN,Japan,2012,4.358,SL.UEM.TOTL.ZS
JPN,Japan,2011,4.55,SL.UEM.TOTL.ZS
JPN,Japan,2010,5.102,SL.UEM.TOTL.ZS
DEU,Germany,2024,3.406,SL.UEM.TOTL.ZS
DEU,Germany,2023,3.068,SL.UEM.TOTL.ZS
DEU,Germany,2022,3.12,SL.UEM.TOTL.ZS
DEU,Germany,2021,3.594,SL.UEM.TOTL.ZS
DEU,Germany,2020,3.881,SL.UEM.TOTL.ZS
DEU,Germany,2019,3.163,SL.UEM.TOTL.ZS
DEU,Germany,2018,3.384,SL.UEM.TOTL.ZS
DEU,Germany,2017,3.781,SL.UEM.TOTL.ZS
DEU,Germany,2016,4.104,SL.UEM.TOTL.ZS
DEU,Germany,2015,4.612,SL.UEM.TOTL.ZS
DEU,Germany,2014,4.979,SL.UEM.TOTL.ZS
DEU,Germany,2013,5.316,SL.UEM.TOTL.ZS
DEU,Germany,2012,5.372,SL.UEM.TOTL.ZS
DEU,Germany,2011,5.967,SL.UEM.TOTL.ZS
DEU,Germany,2010,7.043,SL.UEM.TOTL.ZS
